Titulo,Autores,Categoria,Calificacion,Precio,"In Stock",Link
"Brazen: The Courage to Find the You That's Been Hiding","Leeana Tankersley",Nonfiction,2,Â£19.22,"In stock",https://books.toscrape.com/catalogue/brazen-the-courage-to-find-the-you-thats-been-hiding_514/index.html
"Between the World and Me","Libros Maestros",Nonfiction,4,Â£56.91,"In stock",https://books.toscrape.com/catalogue/between-the-world-and-me_513/index.html
"Being Mortal: Medicine and What Matters in the End","Atul Gawande",Nonfiction,4,Â£55.06,"In stock",https://books.toscrape.com/catalogue/being-mortal-medicine-and-what-matters-in-the-end_512/index.html
"A Murder Over a Girl: Justice, Gender, Junior High","Ken Corbett",Nonfiction,3,Â£13.20,"In stock",https://books.toscrape.com/catalogue/a-murder-over-a-girl-justice-gender-junior-high_511/index.html
"32 Yolks","Eric Ripert, Veronica Chambers","Food and Drink",2,Â£53.63,"In stock",https://books.toscrape.com/catalogue/32-yolks_510/index.html
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination","Annette Gordon-Reed, Peter S. Onuf",History,5,Â£44.48,"In stock",https://books.toscrape.com/catalogue/most-blessed-of-the-patriarchs-thomas-jefferson-and-the-empire-of-the-imagination_509/index.html
"You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life","Jen Sincero","Self Help",3,Â£12.08,"In stock",https://books.toscrape.com/catalogue/you-are-a-badass-how-to-stop-doubting-your-greatness-and-start-living-an-awesome-life_508/index.html
"Wildlife of New York: A Five-Borough Coloring Book","Giada Crispiels, Shannon Lee Connors",Default,2,Â£22.14,"In stock",https://books.toscrape.com/catalogue/wildlife-of-new-york-a-five-borough-coloring-book_507/index.html
"What Happened on Beale Street (Secrets of the South Mysteries #2)","Mary Ellis",Mystery,5,Â£25.37,"In stock",https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html
"Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain","Chad Veach",Spirituality,2,Â£46.33,"In stock",https://books.toscrape.com/catalogue/unreasonable-hope-finding-faith-in-the-god-who-brings-purpose-to-your-pain_505/index.html
"Under the Tuscan Sun","Frances Mayes",Travel,3,Â£37.33,"In stock",https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html
"Toddlers Are A**holes: It's Not Your Fault","Bunmi Laditan",Humor,1,Â£25.55,"In stock",https://books.toscrape.com/catalogue/toddlers-are-aholes-its-not-your-fault_503/index.html
"The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible","A. J. Jacobs",Default,1,Â£34.72,"In stock",https://books.toscrape.com/catalogue/the-year-of-living-biblically-one-mans-humble-quest-to-follow-the-bible-as-literally-as-possible_502/index.html
"The Whale","Philip Hoare",Childrens,4,Â£35.96,"In stock",https://books.toscrape.com/catalogue/the-whale_501/index.html
"The Story of Art","Ernst Hans Gombrich",Art,4,Â£41.14,"In stock",https://books.toscrape.com/catalogue/the-story-of-art_500/index.html
"The Origin of Species","Charles Darwin",Science,4,Â£10.01,"In stock",https://books.toscrape.com/catalogue/the-origin-of-species_499/index.html
"The Great Gatsby","F. Scott Fitzgerald",Default,4,Â£36.05,"In stock",https://books.toscrape.com/catalogue/the-great-gatsby_498/index.html
"The Good Girl","Jessica Brody",Default,3,Â£49.03,"In stock",https://books.toscrape.com/catalogue/the-good-girl_497/index.html
"The Glass Castle","Jeannette Walls","Add a comment",1,Â£16.24,"In stock",https://books.toscrape.com/catalogue/the-glass-castle_496/index.html
"The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist","Larry Alex Taunton",Biography,1,Â£39.55,"In stock",https://books.toscrape.com/catalogue/the-faith-of-christopher-hitchens-the-restless-soul-of-the-worlds-most-notorious-atheist_495/index.html
"The Drowning Girls","Daniela Vlaskalic, Beth Graham, Charlie Tomlinson","Add a comment",3,Â£35.67,"In stock",https://books.toscrape.com/catalogue/the-drowning-girls_494/index.html
"The Constant Princess (The Tudor Court #1)","Philippa Gregory","Historical Fiction",3,Â£16.62,"In stock",https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
"The Bourne Identity (Jason Bourne #1)","Robert Ludlum",Fiction,4,Â£42.78,"In stock",https://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html
"The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1)","Rachel McMillan ",Mystery,5,Â£52.30,"In stock",https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html
"The Art Book","Lee Beard, Adam Butler, Claire Van Cleave, Diane Fortenberry, Susan Stirling",Art,2,Â£32.34,"In stock",https://books.toscrape.com/catalogue/the-art-book_490/index.html
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",Default,4,Â£33.17,"In stock",https://books.toscrape.com/catalogue/the-7-habits-of-highly-effective-people-powerful-lessons-in-personal-change_489/index.html
"Team of Rivals: The Political Genius of Abraham Lincoln","Doris Kearns Goodwin","Add a comment",5,Â£20.12,"In stock",https://books.toscrape.com/catalogue/team-of-rivals-the-political-genius-of-abraham-lincoln_488/index.html
"Steal Like an Artist: 10 Things Nobody Told You About Being Creative","Austin Kleon",Default,2,Â£20.90,"In stock",https://books.toscrape.com/catalogue/steal-like-an-artist-10-things-nobody-told-you-about-being-creative_487/index.html
"Sit, Stay, Love","Dana Mentink",Romance,3,Â£20.90,"In stock",https://books.toscrape.com/catalogue/sit-stay-love_486/index.html
"Sister Dear","Hannah Mary McKinnon",Fiction,4,Â£40.20,"In stock",https://books.toscrape.com/catalogue/sister-dear_485/index.html
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly","Scott Nash",Childrens,3,Â£52.87,"In stock",https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html
"Rich Dad, Poor Dad","Robert Kiyosaki",Business,1,Â£51.74,"In stock",https://books.toscrape.com/catalogue/rich-dad-poor-dad_483/index.html
"Raymie Nightingale","Kate DiCamillo",Childrens,2,Â£34.41,"In stock",https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html
"Playing from the Heart","Anne Mateer",Childrens,1,Â£32.38,"In stock",https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html
"Nightstruck: A Novel","Jenna Black","Young Adult",4,Â£50.35,"In stock",https://books.toscrape.com/catalogue/nightstruck-a-novel_480/index.html
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories","Allyson Kramer","Food and Drink",5,Â£11.38,"In stock",https://books.toscrape.com/catalogue/naturally-lean-125-nourishing-gluten-free-plant-based-recipes-all-under-300-calories_479/index.html
Meternity,"Meghann Foye","Womens Fiction",3,Â£43.58,"In stock",https://books.toscrape.com/catalogue/meternity_478/index.html
"Memoirs of a Geisha","Arthur Golden",Fiction,3,Â£49.67,"In stock",https://books.toscrape.com/catalogue/memoirs-of-a-geisha_477/index.html
"Like Never Before (Walker Family #2)","Melissa Tagg","Christian Fiction",2,Â£28.77,"In stock",https://books.toscrape.com/catalogue/like-never-before-walker-family-2_476/index.html
"Life of Pi","Yann Martel",Default,4,Â£13.22,"In stock",https://books.toscrape.com/catalogue/life-of-pi_475/index.html
"Leave This Song Behind: Teen Poetry at Its Best","John Meyer, Stephanie H. Meyer, Adam Halwitz, Cindy W. Spertner",Poetry,5,Â£51.17,"In stock",https://books.toscrape.com/catalogue/leave-this-song-behind-teen-poetry-at-its-best_474/index.html
"King's Folly (The Kinsman Chronicles #1)","Jill Williamson",Fantasy,5,Â£39.61,"In stock",https://books.toscrape.com/catalogue/kings-folly-the-kinsman-chronicles-1_473/index.html
"John Adams","50Minutos,","Add a comment",4,Â£57.43,"In stock",https://books.toscrape.com/catalogue/john-adams_472/index.html
"How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything)","Mark Bittman","Food and Drink",4,Â£46.01,"In stock",https://books.toscrape.com/catalogue/how-to-cook-everything-vegetarian-simple-meatless-recipes-for-great-food-how-to-cook-everything_471/index.html
"How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking","Nigella Lawson","Food and Drink",2,Â£28.25,"In stock",https://books.toscrape.com/catalogue/how-to-be-a-domestic-goddess-baking-and-the-art-of-comfort-cooking_470/index.html
"Good in Bed (Cannie Shapiro #1)","Jennifer Weiner","Add a comment",5,Â£37.05,"In stock",https://books.toscrape.com/catalogue/good-in-bed-cannie-shapiro-1_469/index.html
"Fruits Basket, Vol. 7 (Fruits Basket #7)","Natsuki Takaya","Sequential Art",1,Â£19.57,"In stock",https://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
"For the Love: Fighting for Grace in a World of Impossible Standards","Jen Hatmaker",Nonfiction,3,Â£45.13,"In stock",https://books.toscrape.com/catalogue/for-the-love-fighting-for-grace-in-a-world-of-impossible-standards_467/index.html
"Finding God in the Ruins: How God Redeems Pain","Matt Bays",Nonfiction,2,Â£46.64,"In stock",https://books.toscrape.com/catalogue/finding-god-in-the-ruins-how-god-redeems-pain_466/index.html
"Every Heart a Doorway (Every Heart A Doorway #1)","Bianca Sloane",Fantasy,5,Â£12.16,"In stock",https://books.toscrape.com/catalogue/every-heart-a-doorway-every-heart-a-doorway-1_465/index.html
"Delivering the Truth (Quaker Midwife Mystery #1)","Edith Maxwell",Mystery,4,Â£20.89,"In stock",https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html
"Counted With the Stars (Out from Egypt #1)","Connilyn Cossette","Christian Fiction",5,Â£17.97,"In stock",https://books.toscrape.com/catalogue/counted-with-the-stars-out-from-egypt-1_463/index.html
"Chronicles, Vol. 1","Matt Wagner",Music,2,Â£52.60,"In stock",https://books.toscrape.com/catalogue/chronicles-vol-1_462/index.html
"Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality","Donald Miller",Christian,1,Â£25.77,"In stock",https://books.toscrape.com/catalogue/blue-like-jazz-nonreligious-thoughts-on-christian-spirituality_461/index.html
"Benjamin Franklin: An American Life","Walter Isaacson",Biography,3,Â£48.19,"In stock",https://books.toscrape.com/catalogue/benjamin-franklin-an-american-life_460/index.html
"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others","Sarah Bakewell",Philosophy,5,Â£29.93,"In stock",https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
"A Summer In Europe","Marilyn Brant",Travel,2,Â£44.34,"In stock",https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html
"A Short History of Nearly Everything","Bill Bryson",History,5,Â£52.40,"In stock",https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html
"A Gathering of Shadows (Shades of Magic #2)","V. E. Schwab",Fantasy,4,Â£44.81,"In stock",https://books.toscrape.com/catalogue/a-gathering-of-shadows-shades-of-magic-2_456/index.html
"The Sound Of Love","Jimi Calhoun",Default,5,Â£57.84,"In stock",https://books.toscrape.com/catalogue/the-sound-of-love_455/index.html
"The Rise and Fall of the Third Reich: A History of Nazi Germany","William L. Shirer",History,2,Â£39.67,"In stock",https://books.toscrape.com/catalogue/the-rise-and-fall-of-the-third-reich-a-history-of-nazi-germany_454/index.html
"The Perks of Being a Wallflower","Stephen Chbosky",Default,3,Â£55.02,"In stock",https://books.toscrape.com/catalogue/the-perks-of-being-a-wallflower_453/index.html
"The Mysterious Affair at Styles (Hercule Poirot #1)","Agatha Christie",Mystery,4,Â£24.80,"In stock",https://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
"The Man Who Mistook His Wife for a Hat and Other Clinical Tales","Oliver Sacks",Nonfiction,4,Â£59.45,"In stock",https://books.toscrape.com/catalogue/the-man-who-mistook-his-wife-for-a-hat-and-other-clinical-tales_451/index.html
"The Makings of a Fatherless Child","Chandler Alexander",Default,2,Â£31.58,"In stock",https://books.toscrape.com/catalogue/the-makings-of-a-fatherless-child_450/index.html
"The Joy of Cooking","Irma S. Rombauer, Marion Rombauer Becker","Add a comment",4,Â£43.27,"In stock",https://books.toscrape.com/catalogue/the-joy-of-cooking_449/index.html
"The Invention of Wings",dailyBooks,"Historical Fiction",1,Â£37.34,"In stock",https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
"The Hobbit (Middle-Earth Universe)","Fleming Rutledge",Default,5,Â£17.80,"In stock",https://books.toscrape.com/catalogue/the-hobbit-middle-earth-universe_447/index.html
"The Great Railway Bazaar","Paul Theroux",Travel,1,Â£30.54,"In stock",https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html
"The Golden Compass (His Dark Materials #1)","Philip Pullman","Add a comment",1,Â£18.77,"In stock",https://books.toscrape.com/catalogue/the-golden-compass-his-dark-materials-1_445/index.html
"The God Delusion","Richard Dawkins","Add a comment",3,Â£46.85,"In stock",https://books.toscrape.com/catalogue/the-god-delusion_444/index.html
"The Girl You Left Behind (The Girl You Left Behind #1)","Jojo Moyes",Historical,1,Â£15.79,"In stock",https://books.toscrape.com/catalogue/the-girl-you-left-behind-the-girl-you-left-behind-1_443/index.html
"The Fellowship of the Ring (The Lord of the Rings #1)","J. R. R. Tolkien",Default,2,Â£10.27,"In stock",https://books.toscrape.com/catalogue/the-fellowship-of-the-ring-the-lord-of-the-rings-1_442/index.html
"The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1)","William Butler Yeats",Poetry,5,Â£15.42,"In stock",https://books.toscrape.com/catalogue/the-collected-poems-of-wb-yeats-the-collected-works-of-wb-yeats-1_441/index.html
"The Barefoot Contessa Cookbook","Ina Garten","Food and Drink",5,Â£59.92,"In stock",https://books.toscrape.com/catalogue/the-barefoot-contessa-cookbook_440/index.html
"Tell the Wolves I'm Home","Carol Rifka Brunt","Young Adult",2,Â£50.96,"In stock",https://books.toscrape.com/catalogue/tell-the-wolves-im-home_439/index.html
"Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman","Wesley R. Mullen",Default,3,Â£30.60,"In stock",https://books.toscrape.com/catalogue/ship-leaves-harbor-essays-on-travel-by-a-recovering-journeyman_438/index.html
"Pride and Prejudice","Jane Austen","Add a comment",4,Â£19.27,"In stock",https://books.toscrape.com/catalogue/pride-and-prejudice_437/index.html
"Musicophilia: Tales of Music and the Brain","Oliver Sacks",Default,1,Â£46.58,"In stock",https://books.toscrape.com/catalogue/musicophilia-tales-of-music-and-the-brain_436/index.html
"Mere Christianity","C.S. Lewis","Add a comment",3,Â£48.51,"In stock",https://books.toscrape.com/catalogue/mere-christianity_435/index.html
"Me Before You (Me Before You #1)","G Whiz",Fiction,1,Â£19.02,"In stock",https://books.toscrape.com/catalogue/me-before-you-me-before-you-1_434/index.html
"In the Woods (Dublin Murder Squad #1)","Tana French",Mystery,2,Â£38.38,"In stock",https://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
"In Cold Blood","Truman Capote",Nonfiction,4,Â£49.98,"In stock",https://books.toscrape.com/catalogue/in-cold-blood_432/index.html
"How to Stop Worrying and Start Living","Dale Carnegie","Self Help",5,Â£46.49,"In stock",https://books.toscrape.com/catalogue/how-to-stop-worrying-and-start-living_431/index.html
"Give It Back","Megan Atwood",Thriller,2,Â£18.32,"In stock",https://books.toscrape.com/catalogue/give-it-back_430/index.html
"Girl, Interrupted","Susanna Kaysen",Nonfiction,3,Â£42.14,"In stock",https://books.toscrape.com/catalogue/girl-interrupted_429/index.html
"Fun Home: A Family Tragicomic","Alison Bechdel","Add a comment",4,Â£56.59,"In stock",https://books.toscrape.com/catalogue/fun-home-a-family-tragicomic_428/index.html
"Fruits Basket, Vol. 6 (Fruits Basket #6)","Natsuki Takaya","Sequential Art",4,Â£20.96,"In stock",https://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
"Deception Point","Dan Brown",Fiction,4,Â£40.32,"In stock",https://books.toscrape.com/catalogue/deception-point_426/index.html
"Death Note, Vol. 6: Give-and-Take (Death Note #6)","Tsugumi Ohba","Sequential Art",3,Â£36.39,"In stock",https://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
"Catherine the Great: Portrait of a Woman","Robert K. Massie",History,4,Â£58.55,"In stock",https://books.toscrape.com/catalogue/catherine-the-great-portrait-of-a-woman_424/index.html
"Better Homes and Gardens New Cook Book","Better Homes and Gardens","Food and Drink",3,Â£39.61,"In stock",https://books.toscrape.com/catalogue/better-homes-and-gardens-new-cook-book_423/index.html
"An Unquiet Mind: A Memoir of Moods and Madness","Kay Redfield Jamison",Psychology,3,Â£21.30,"In stock",https://books.toscrape.com/catalogue/an-unquiet-mind-a-memoir-of-moods-and-madness_422/index.html
"A Year in Provence (Provence #1)","Peter Mayle",Travel,4,Â£56.88,"In stock",https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html
"World Without End (The Pillars of the Earth #2)","Bill Harrar","Historical Fiction",4,Â£32.97,"In stock",https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)","John Green, David Levithan","Young Adult",4,Â£47.31,"In stock",https://books.toscrape.com/catalogue/will-grayson-will-grayson-will-grayson-will-grayson_419/index.html
"Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis","Thomas Piketty",Nonfiction,2,Â£48.67,"In stock",https://books.toscrape.com/catalogue/why-save-the-bankers-and-other-essays-on-our-economic-and-political-crisis_418/index.html
"Where She Went (If I Stay #2)","Melissa Tagg","Young Adult",4,Â£41.73,"In stock",https://books.toscrape.com/catalogue/where-she-went-if-i-stay-2_417/index.html
"What If?: Serious Scientific Answers to Absurd Hypothetical Questions","Randall Munroe",Default,4,Â£53.68,"In stock",https://books.toscrape.com/catalogue/what-if-serious-scientific-answers-to-absurd-hypothetical-questions_416/index.html
"Two Summers","Aimee Friedman","Young Adult",1,Â£14.64,"In stock",https://books.toscrape.com/catalogue/two-summers_415/index.html
"This Is Your Brain on Music: The Science of a Human Obsession","Daniel J. Levitin",Music,1,Â£38.40,"In stock",https://books.toscrape.com/catalogue/this-is-your-brain-on-music-the-science-of-a-human-obsession_414/index.html
"The Secret Garden","Frances Hodgson Burnett, Thea Kliros",Classics,4,Â£15.08,"In stock",https://books.toscrape.com/catalogue/the-secret-garden_413/index.html
"The Raven King (The Raven Cycle #4)","Jenny Nimmo","Add a comment",2,Â£30.57,"In stock",https://books.toscrape.com/catalogue/the-raven-king-the-raven-cycle-4_412/index.html
"The Raven Boys (The Raven Cycle #1)","Maggie Stiefvater, Stephanie Williams",Fantasy,4,Â£57.74,"In stock",https://books.toscrape.com/catalogue/the-raven-boys-the-raven-cycle-1_411/index.html
"The Power Greens Cookbook: 140 Delicious Superfood Recipes","Dana Jacobi","Food and Drink",5,Â£11.05,"In stock",https://books.toscrape.com/catalogue/the-power-greens-cookbook-140-delicious-superfood-recipes_410/index.html
"The Metamorphosis","Franz Kafka",Classics,1,Â£28.58,"In stock",https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
"The Mathews Men: Seven Brothers and the War Against Hitler's U-boats","William Geroux",History,5,Â£42.91,"In stock",https://books.toscrape.com/catalogue/the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats_408/index.html
"The Little Paris Bookshop","Nina George",Fiction,3,Â£24.73,"In stock",https://books.toscrape.com/catalogue/the-little-paris-bookshop_407/index.html
"The Hiding Place","Corrie ten Boom, Elizabeth Sherrill, John Sherrill",History,4,Â£55.91,"In stock",https://books.toscrape.com/catalogue/the-hiding-place_406/index.html
"The Grand Design","Stephen Hawking, Leonard Mlodinow",Science,3,Â£13.76,"In stock",https://books.toscrape.com/catalogue/the-grand-design_405/index.html
"The Firm","John Grisham",Fiction,3,Â£45.56,"In stock",https://books.toscrape.com/catalogue/the-firm_404/index.html
"The Fault in Our Stars","John Green",Default,1,Â£47.22,"In stock",https://books.toscrape.com/catalogue/the-fault-in-our-stars_403/index.html
"The False Prince (The Ascendance Trilogy #1)","Jennifer A. Nielsen",Fantasy,5,Â£56.00,"In stock",https://books.toscrape.com/catalogue/the-false-prince-the-ascendance-trilogy-1_402/index.html
"The Expatriates","Janice Y. K. Lee",Fiction,2,Â£44.58,"In stock",https://books.toscrape.com/catalogue/the-expatriates_401/index.html
"The Dream Thieves (The Raven Cycle #2)","Maggie Stiefvater",Default,1,Â£34.50,"In stock",https://books.toscrape.com/catalogue/the-dream-thieves-the-raven-cycle-2_400/index.html
"The Darkest Corners","Sydney Jamesson","Young Adult",5,Â£11.33,"In stock",https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
"The Crossover","Kwame Alexander",Poetry,4,Â£38.77,"In stock",https://books.toscrape.com/catalogue/the-crossover_398/index.html
"The 5th Wave (The 5th Wave #1)","Rick Yancey",Default,2,Â£11.83,"In stock",https://books.toscrape.com/catalogue/the-5th-wave-the-5th-wave-1_397/index.html
"Tell the Wind and Fire","Sarah Rees Brennan",Fantasy,3,Â£45.51,"In stock",https://books.toscrape.com/catalogue/tell-the-wind-and-fire_396/index.html
"Tell Me Three Things","Julie Buxbaum","Young Adult",1,Â£41.81,"In stock",https://books.toscrape.com/catalogue/tell-me-three-things_395/index.html
"Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut","Rob Sheffield",Nonfiction,4,Â£25.15,"In stock",https://books.toscrape.com/catalogue/talking-to-girls-about-duran-duran-one-young-mans-quest-for-true-love-and-a-cooler-haircut_394/index.html
Siddhartha,"Hermann Hesse",Fiction,5,Â£34.22,"In stock",https://books.toscrape.com/catalogue/siddhartha_393/index.html
"Shiver (The Wolves of Mercy Falls #1)","Maggie Stiefvater",Default,5,Â£16.23,"In stock",https://books.toscrape.com/catalogue/shiver-the-wolves-of-mercy-falls-1_392/index.html
"Remember Me?","Christopher Pike",Default,3,Â£11.48,"In stock",https://books.toscrape.com/catalogue/remember-me_391/index.html
"Red Dragon (Hannibal Lecter #1)","Thomas Harris",Horror,3,Â£23.37,"In stock",https://books.toscrape.com/catalogue/red-dragon-hannibal-lecter-1_390/index.html
"Peak: Secrets from the New Science of Expertise","Anders Ericsson",Science,2,Â£16.28,"In stock",https://books.toscrape.com/catalogue/peak-secrets-from-the-new-science-of-expertise_389/index.html
"My Mother Was Nuts","Penny Marshall",Nonfiction,4,Â£31.63,"In stock",https://books.toscrape.com/catalogue/my-mother-was-nuts_388/index.html
"Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens","Pati Jinich","Food and Drink",5,Â£24.91,"In stock",https://books.toscrape.com/catalogue/mexican-today-new-and-rediscovered-recipes-for-contemporary-kitchens_387/index.html
"Maybe Something Beautiful: How Art Transformed a Neighborhood","F. Isabel Campoy, Theresa Howell",Childrens,1,Â£22.54,"In stock",https://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html
"Lola and the Boy Next Door (Anna and the French Kiss #2)","Stephanie Perkins","Young Adult",4,Â£23.63,"In stock",https://books.toscrape.com/catalogue/lola-and-the-boy-next-door-anna-and-the-french-kiss-2_385/index.html
"Logan Kade (Fallen Crest High #5.5)",Tijan,Academic,2,Â£13.12,"In stock",https://books.toscrape.com/catalogue/logan-kade-fallen-crest-high-55_384/index.html
"Last One Home (New Beginnings #1)","Cathleen Armstrong",Fiction,3,Â£59.98,"In stock",https://books.toscrape.com/catalogue/last-one-home-new-beginnings-1_383/index.html
"Killing Floor (Jack Reacher #1)","Lee Child",Thriller,4,Â£31.49,"In stock",https://books.toscrape.com/catalogue/killing-floor-jack-reacher-1_382/index.html
"Kill the Boy Band","Goldy Moldavsky","Young Adult",5,Â£15.52,"In stock",https://books.toscrape.com/catalogue/kill-the-boy-band_381/index.html
"Isla and the Happily Ever After (Anna and the French Kiss #3)","Stephanie Perkins","Young Adult",5,Â£48.13,"In stock",https://books.toscrape.com/catalogue/isla-and-the-happily-ever-after-anna-and-the-french-kiss-3_380/index.html
"If I Stay (If I Stay #1)","Trivion Books",Default,5,Â£38.13,"In stock",https://books.toscrape.com/catalogue/if-i-stay-if-i-stay-1_379/index.html
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1)","Maya Angelou",Default,2,Â£36.55,"In stock",https://books.toscrape.com/catalogue/i-know-why-the-caged-bird-sings-maya-angelous-autobiography-1_378/index.html
"Harry Potter and the Deathly Hallows (Harry Potter #7)","J. K. Rowling",Default,1,Â£23.32,"In stock",https://books.toscrape.com/catalogue/harry-potter-and-the-deathly-hallows-harry-potter-7_377/index.html
"Fruits Basket, Vol. 5 (Fruits Basket #5)","Natsuki Takaya","Sequential Art",1,Â£16.33,"In stock",https://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
"Foundation (Foundation (Publication Order) #1)","Mac Walters","Science Fiction",1,Â£32.42,"In stock",https://books.toscrape.com/catalogue/foundation-foundation-publication-order-1_375/index.html
"Fool Me Once","Mary Burton King",Default,1,Â£16.96,"In stock",https://books.toscrape.com/catalogue/fool-me-once_374/index.html
"Find Her (Detective D.D. Warren #8)","Lisa Gardner","Add a comment",1,Â£22.37,"In stock",https://books.toscrape.com/catalogue/find-her-detective-dd-warren-8_373/index.html
"Evicted: Poverty and Profit in the American City","Matthew Desmond","Add a comment",1,Â£42.27,"In stock",https://books.toscrape.com/catalogue/evicted-poverty-and-profit-in-the-american-city_372/index.html
Drama,"Friedrich Schiller, Antonio Hurtado",Default,2,Â£38.70,"In stock",https://books.toscrape.com/catalogue/drama_371/index.html
"Dracula the Un-Dead","Dacre Stoker, Ian Holt",Horror,5,Â£35.63,"In stock",https://books.toscrape.com/catalogue/dracula-the-un-dead_370/index.html
"Digital Fortress","DAN BROWN",Fiction,5,Â£58.00,"In stock",https://books.toscrape.com/catalogue/digital-fortress_369/index.html
"Death Note, Vol. 5: Whiteout (Death Note #5)","Tsugumi ?ba","Sequential Art",1,Â£52.41,"In stock",https://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
"Data, A Love Story: How I Gamed Online Dating to Meet My Match","Amy Webb",Nonfiction,3,Â£32.35,"In stock",https://books.toscrape.com/catalogue/data-a-love-story-how-i-gamed-online-dating-to-meet-my-match_367/index.html
"Critique of Pure Reason","Immanuel Kant",Philosophy,1,Â£20.75,"In stock",https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
Booked,"Kwame Alexander",Poetry,5,Â£17.49,"In stock",https://books.toscrape.com/catalogue/booked_365/index.html
"Blue Lily, Lily Blue (The Raven Cycle #3)","Maggie Stiefvater",Default,5,Â£34.13,"In stock",https://books.toscrape.com/catalogue/blue-lily-lily-blue-the-raven-cycle-3_364/index.html
"Approval Junkie: Adventures in Caring Too Much","United States. Congress. House. Committee on Energy and Commerce. Subcommittee on Oversight and Investigations",Autobiography,5,Â£58.81,"In stock",https://books.toscrape.com/catalogue/approval-junkie-adventures-in-caring-too-much_363/index.html
"An Abundance of Katherines","John Green","Young Adult",5,Â£10.00,"In stock",https://books.toscrape.com/catalogue/an-abundance-of-katherines_362/index.html
"America's War for the Greater Middle East: A Military History","Andrew J. Bacevich",History,2,Â£51.22,"In stock",https://books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html
"Alight (The Generations Trilogy #2)","Scott Sigler",Default,4,Â£58.59,"In stock",https://books.toscrape.com/catalogue/alight-the-generations-trilogy-2_360/index.html
